transaction_id,customer_id,amount,payment_method,status,failure_reason,transaction_time,retry_count
TXN100000,CUST2385,29953.08,WALLET,SUCCESS,,2026-08-11 01:03:48.314360,2
TXN100001,CUST6298,38853.07,UPI,SUCCESS,,2026-08-18 05:48:48.314360,1
TXN100002,CUST2588,41653.03,WALLET,SUCCESS,,2026-08-22 19:00:48.314360,3
TXN100003,CUST3899,36868.97,WALLET,SUCCESS,,2026-08-05 13:44:48.314360,1
TXN100004,CUST7871,4515.37,WALLET,SUCCESS,,2026-08-17 06:57:48.314360,2
TXN100005,CUST4463,43170.13,WALLET,SUCCESS,,2026-08-18 19:48:48.314360,0
TXN100006,CUST7775,35437.69,NETBANKING,SUCCESS,,2026-08-07 21:46:48.314360,1
TXN100007,CUST6355,29364.74,WALLET,SUCCESS,,2026-08-26 19:44:48.314360,3
TXN100008,CUST4387,22143.64,WALLET,SUCCESS,,2026-08-09 09:17:48.314360,3
TXN100009,CUST3748,33221.37,UPI,SUCCESS,,2026-08-11 18:36:48.314360,3
TXN100010,CUST5259,5231.94,WALLET,SUCCESS,,2026-08-23 02:38:48.314360,0
TXN100011,CUST4657,25381.81,UPI,SUCCESS,,2026-08-20 07:15:48.314360,2
TXN100012,CUST9159,24128.89,WALLET,SUCCESS,,2026-08-17 02:21:48.314360,2
TXN100013,CUST4107,33932.46,UPI,SUCCESS,,2026-08-27 20:25:48.314360,1
TXN100014,CUST7617,14752.17,CARD,SUCCESS,,2026-08-12 22:26:48.314360,1
TXN100015,CUST8238,23261.36,NETBANKING,SUCCESS,,2026-08-16 21:25:48.314360,1
TXN100016,CUST9834,42129.22,WALLET,SUCCESS,,2026-08-21 21:55:48.314360,0
TXN100017,CUST3787,33961.05,NETBANKING,SUCCESS,,2026-08-01 06:07:48.314360,3
TXN100018,CUST1466,20148.22,WALLET,SUCCESS,,2026-08-06 22:10:48.314360,1
TXN100019,CUST3626,10369.69,WALLET,SUCCESS,,2026-08-07 03:40:48.314360,2
TXN100020,CUST8791,2264.42,CARD,FAILED,LIMIT_EXCEEDED,2026-08-12 19:50:48.314360,3
TXN100021,CUST2751,21609.49,UPI,SUCCESS,,2026-08-26 17:17:48.314360,0
TXN100022,CUST8837,3412.74,WALLET,FAILED,BANK_DECLINE,2026-08-23 08:02:48.314360,2
TXN100023,CUST8885,23925.25,NETBANKING,SUCCESS,,2026-08-27 03:53:48.314360,2
TXN100024,CUST4347,9184.93,WALLET,SUCCESS,,2026-08-25 17:42:48.314360,3
TXN100025,CUST3603,33442.73,NETBANKING,SUCCESS,,2026-08-01 09:28:48.314360,0
TXN100026,CUST5025,40937.26,NETBANKING,SUCCESS,,2026-08-28 15:35:48.314360,0
TXN100027,CUST8926,14449.05,WALLET,SUCCESS,,2026-08-23 10:38:48.314360,1
TXN100028,CUST1477,44212.14,CARD,SUCCESS,,2026-08-06 17:29:48.314360,0
TXN100029,CUST1764,44404.04,CARD,SUCCESS,,2026-08-08 09:25:48.314360,1
TXN100030,CUST6962,27764.06,WALLET,SUCCESS,,2026-08-13 17:44:48.314360,3
TXN100031,CUST7563,2584.3,CARD,FAILED,NETWORK_ERROR,2026-08-04 21:24:48.314360,2
TXN100032,CUST4682,20093.46,WALLET,SUCCESS,,2026-08-27 19:29:48.314360,2
TXN100033,CUST4369,18634.43,NETBANKING,SUCCESS,,2026-08-05 14:07:48.314360,1
TXN100034,CUST5043,42922.79,UPI,SUCCESS,,2026-08-11 13:06:48.314360,2
TXN100035,CUST8145,13233.55,WALLET,FAILED,LIMIT_EXCEEDED,2026-08-20 08:50:48.314360,3
TXN100036,CUST4973,23474.38,WALLET,SUCCESS,,2026-08-11 08:34:48.314360,0
TXN100037,CUST7314,49142.64,WALLET,SUCCESS,,2026-08-16 05:02:48.314360,2
TXN100038,CUST6975,46538.03,WALLET,SUCCESS,,2026-08-18 04:44:48.314360,2
TXN100039,CUST5289,32964.01,CARD,SUCCESS,,2026-07-30 20:43:48.314360,0
TXN100040,CUST5665,45685.33,CARD,FAILED,NETWORK_ERROR,2026-08-04 11:26:48.314360,2
TXN100041,CUST3054,12498.2,NETBANKING,SUCCESS,,2026-07-30 05:43:48.314360,1
TXN100042,CUST9966,34649.22,UPI,SUCCESS,,2026-08-05 22:37:48.314360,1
TXN100043,CUST1820,3234.97,WALLET,SUCCESS,,2026-08-18 13:46:48.314360,3
TXN100044,CUST4043,18052.38,UPI,FAILED,TIMEOUT,2026-08-03 12:18:48.314360,1
TXN100045,CUST9869,38868.33,CARD,SUCCESS,,2026-08-21 12:07:48.314360,2
TXN100046,CUST7008,42993.53,WALLET,SUCCESS,,2026-08-04 02:11:48.314360,2
TXN100047,CUST6302,19282.27,UPI,SUCCESS,,2026-08-11 04:52:48.314360,3
TXN100048,CUST7818,42782.83,NETBANKING,SUCCESS,,2026-08-10 02:11:48.314360,2
TXN100049,CUST4467,16308.31,CARD,SUCCESS,,2026-08-10 18:54:48.314360,1
TXN100050,CUST1687,4377.2,CARD,SUCCESS,,2026-08-26 13:22:48.314360,1
TXN100051,CUST9771,12347.53,CARD,SUCCESS,,2026-08-15 22:59:48.314360,1
TXN100052,CUST8096,46421.32,UPI,SUCCESS,,2026-08-08 23:34:48.314360,1
TXN100053,CUST4605,927.87,UPI,SUCCESS,,2026-08-27 13:35:48.314360,3
TXN100054,CUST1507,5732.76,UPI,SUCCESS,,2026-08-19 17:05:48.314360,0
TXN100055,CUST6203,44547.21,UPI,SUCCESS,,2026-08-21 02:15:48.314360,0
TXN100056,CUST7996,36315.29,WALLET,FAILED,TIMEOUT,2026-08-26 23:58:48.314360,3
TXN100057,CUST6288,12684.38,NETBANKING,SUCCESS,,2026-08-27 21:00:48.314360,2
TXN100058,CUST6351,9702.39,UPI,SUCCESS,,2026-08-21 17:36:48.314360,0
TXN100059,CUST7149,21218.79,NETBANKING,SUCCESS,,2026-08-28 07:47:48.314360,3
TXN100060,CUST7736,20076.34,CARD,SUCCESS,,2026-08-08 00:05:48.314360,2
TXN100061,CUST9845,1599.54,NETBANKING,SUCCESS,,2026-08-12 14:06:48.314360,0
TXN100062,CUST3063,22661.14,CARD,FAILED,BANK_DECLINE,2026-07-30 19:38:48.314360,3
TXN100063,CUST1750,26255.42,UPI,SUCCESS,,2026-08-27 11:01:48.314360,0
TXN100064,CUST8975,9678.77,NETBANKING,SUCCESS,,2026-08-04 19:43:48.314360,0
TXN100065,CUST2615,48484.66,UPI,SUCCESS,,2026-08-02 05:02:48.314360,2
TXN100066,CUST2655,2142.69,CARD,SUCCESS,,2026-08-15 16:13:48.314360,2
TXN100067,CUST7734,535.42,NETBANKING,SUCCESS,,2026-08-13 13:13:48.314360,3
TXN100068,CUST5275,37781.36,NETBANKING,SUCCESS,,2026-08-09 08:29:48.314360,3
TXN100069,CUST9887,15833.54,UPI,FAILED,BANK_DECLINE,2026-08-07 14:29:48.314360,0
TXN100070,CUST3938,3693.63,NETBANKING,FAILED,NETWORK_ERROR,2026-08-22 11:40:48.314360,0
TXN100071,CUST1034,10465.41,NETBANKING,SUCCESS,,2026-08-04 02:40:48.314360,3
TXN100072,CUST2370,11376.14,WALLET,SUCCESS,,2026-08-23 08:26:48.314360,2
TXN100073,CUST8434,21171.5,CARD,FAILED,BANK_DECLINE,2026-08-13 08:32:48.314360,3
TXN100074,CUST2263,4001.55,NETBANKING,SUCCESS,,2026-08-13 13:07:48.314360,0
TXN100075,CUST7179,36050.8,NETBANKING,SUCCESS,,2026-08-09 09:33:48.314360,3
TXN100076,CUST3811,2009.16,UPI,SUCCESS,,2026-08-21 03:56:48.314360,0
TXN100077,CUST1139,9330.91,CARD,SUCCESS,,2026-08-02 11:16:48.314360,3
TXN100078,CUST1729,48981.99,CARD,SUCCESS,,2026-08-15 02:59:48.314360,1
TXN100079,CUST7529,5753.25,CARD,SUCCESS,,2026-08-17 21:55:48.314360,1
TXN100080,CUST2080,9658.24,CARD,SUCCESS,,2026-08-27 16:42:48.314360,3
TXN100081,CUST1162,29355.92,NETBANKING,SUCCESS,,2026-08-17 03:11:48.314360,2
TXN100082,CUST8728,16960.76,WALLET,FAILED,TIMEOUT,2026-08-11 17:56:48.314360,0
TXN100083,CUST2878,15501.58,WALLET,SUCCESS,,2026-08-18 13:09:48.314360,1
TXN100084,CUST6766,5225.84,WALLET,SUCCESS,,2026-08-07 07:06:48.314360,2
TXN100085,CUST5402,9160.9,NETBANKING,SUCCESS,,2026-08-02 03:31:48.314360,2
TXN100086,CUST2127,44052.14,CARD,SUCCESS,,2026-08-20 02:26:48.314360,3
TXN100087,CUST5112,6808.97,WALLET,SUCCESS,,2026-08-10 03:10:48.314360,3
TXN100088,CUST9625,41493.82,UPI,SUCCESS,,2026-08-17 19:31:48.314360,1
TXN100089,CUST5131,1078.59,WALLET,SUCCESS,,2026-08-01 06:11:48.314360,0
TXN100090,CUST2916,3048.32,NETBANKING,SUCCESS,,2026-08-09 14:39:48.314360,0
TXN100091,CUST4338,43965.72,NETBANKING,SUCCESS,,2026-08-17 02:30:48.314360,1
TXN100092,CUST4511,20079.11,CARD,FAILED,LIMIT_EXCEEDED,2026-08-05 22:26:48.314360,0
TXN100093,CUST8338,16388.56,WALLET,SUCCESS,,2026-08-13 12:52:48.314360,2
TXN100094,CUST2868,33510.06,WALLET,SUCCESS,,2026-08-20 19:20:48.314360,3
TXN100095,CUST4291,19843.54,UPI,FAILED,BANK_DECLINE,2026-08-12 06:56:48.314360,2
TXN100096,CUST5377,213.44,CARD,SUCCESS,,2026-08-26 10:37:48.314360,0
TXN100097,CUST6534,24093.57,WALLET,SUCCESS,,2026-08-04 16:54:48.314360,2
TXN100098,CUST9004,25762.96,UPI,SUCCESS,,2026-08-11 09:47:48.314360,0
TXN100099,CUST4213,9495.54,NETBANKING,SUCCESS,,2026-08-27 00:41:48.314360,1
TXN100100,CUST1275,22243.85,NETBANKING,SUCCESS,,2026-08-19 02:50:48.314360,1
TXN100101,CUST2706,8025.8,CARD,SUCCESS,,2026-08-07 09:05:48.314360,0
TXN100102,CUST5347,15293.0,WALLET,SUCCESS,,2026-08-01 23:52:48.314360,1
TXN100103,CUST3857,12759.72,UPI,SUCCESS,,2026-08-08 00:07:48.314360,2
TXN100104,CUST6531,46530.74,UPI,SUCCESS,,2026-08-14 19:09:48.314360,2
TXN100105,CUST9972,4449.2,WALLET,SUCCESS,,2026-08-13 14:23:48.314360,1
TXN100106,CUST4251,9112.8,WALLET,SUCCESS,,2026-08-09 05:51:48.314360,0
TXN100107,CUST5941,5857.94,WALLET,SUCCESS,,2026-08-10 22:11:48.314360,1
TXN100108,CUST6498,32922.53,UPI,SUCCESS,,2026-08-24 16:21:48.314360,3
TXN100109,CUST1853,13597.33,NETBANKING,SUCCESS,,2026-08-14 15:10:48.314360,0
TXN100110,CUST9334,2211.31,CARD,SUCCESS,,2026-08-15 21:18:48.314360,0
TXN100111,CUST7006,39813.38,WALLET,FAILED,NETWORK_ERROR,2026-08-07 01:08:48.314360,3
TXN100112,CUST8075,34235.13,CARD,SUCCESS,,2026-08-25 20:59:48.314360,0
TXN100113,CUST2372,25347.66,WALLET,SUCCESS,,2026-08-22 14:59:48.314360,3
TXN100114,CUST6979,30253.7,UPI,SUCCESS,,2026-08-24 17:55:48.314360,0
TXN100115,CUST5179,41238.59,CARD,SUCCESS,,2026-07-30 13:41:48.314360,1
TXN100116,CUST3718,3042.38,NETBANKING,SUCCESS,,2026-08-04 05:43:48.314360,3
TXN100117,CUST1350,37321.27,CARD,SUCCESS,,2026-08-25 18:19:48.314360,3
TXN100118,CUST1161,13259.76,NETBANKING,SUCCESS,,2026-08-27 03:59:48.314360,0
TXN100119,CUST7217,24163.02,NETBANKING,SUCCESS,,2026-08-04 21:35:48.314360,1
TXN100120,CUST3996,22007.01,WALLET,SUCCESS,,2026-08-25 09:57:48.314360,1
TXN100121,CUST6895,259.4,NETBANKING,FAILED,BANK_DECLINE,2026-08-23 11:40:48.314360,2
TXN100122,CUST2984,502.13,UPI,SUCCESS,,2026-08-26 18:47:48.314360,2
TXN100123,CUST5362,46109.2,NETBANKING,SUCCESS,,2026-08-09 08:34:48.314360,0
TXN100124,CUST4289,29866.51,UPI,SUCCESS,,2026-08-04 08:23:48.314360,1
TXN100125,CUST6799,30507.41,WALLET,SUCCESS,,2026-08-14 23:27:48.314360,0
TXN100126,CUST1063,48889.61,WALLET,SUCCESS,,2026-08-03 01:46:48.314360,1
TXN100127,CUST1697,37054.8,UPI,SUCCESS,,2026-08-19 14:41:48.314360,1
TXN100128,CUST9577,45682.76,WALLET,SUCCESS,,2026-08-17 01:43:48.314360,3
TXN100129,CUST4182,12209.03,WALLET,SUCCESS,,2026-07-30 09:08:48.314360,0
TXN100130,CUST8446,2757.98,CARD,SUCCESS,,2026-08-15 10:51:48.314360,0
TXN100131,CUST7010,36619.0,UPI,FAILED,BANK_DECLINE,2026-08-26 11:26:48.314360,3
TXN100132,CUST8038,9467.0,CARD,SUCCESS,,2026-08-04 12:27:48.314360,0
TXN100133,CUST2756,41074.81,WALLET,SUCCESS,,2026-08-05 19:08:48.314360,0
TXN100134,CUST3994,24593.41,WALLET,SUCCESS,,2026-08-22 09:13:48.314360,3
TXN100135,CUST6830,49230.32,UPI,SUCCESS,,2026-07-30 18:33:48.314360,1
TXN100136,CUST2149,35328.2,CARD,SUCCESS,,2026-08-11 15:29:48.314360,2
TXN100137,CUST6917,32545.81,WALLET,SUCCESS,,2026-08-09 13:52:48.314360,0
TXN100138,CUST4908,35349.26,NETBANKING,FAILED,LIMIT_EXCEEDED,2026-08-06 11:00:48.314360,3
TXN100139,CUST9796,34019.17,WALLET,SUCCESS,,2026-08-19 03:31:48.314360,3
TXN100140,CUST5379,23166.1,NETBANKING,SUCCESS,,2026-08-20 11:01:48.314360,0
TXN100141,CUST8077,16204.38,WALLET,SUCCESS,,2026-08-03 07:54:48.314360,3
TXN100142,CUST9349,31019.42,CARD,FAILED,NETWORK_ERROR,2026-08-10 16:02:48.314360,0
TXN100143,CUST9049,19258.16,NETBANKING,SUCCESS,,2026-08-26 17:15:48.314360,3
TXN100144,CUST8012,41298.68,WALLET,SUCCESS,,2026-08-07 06:43:48.314360,3
TXN100145,CUST7700,27192.27,CARD,SUCCESS,,2026-08-27 17:53:48.314360,2
TXN100146,CUST5271,37048.84,CARD,SUCCESS,,2026-08-18 12:42:48.314360,3
TXN100147,CUST7625,21996.49,NETBANKING,SUCCESS,,2026-08-13 00:09:48.314360,3
TXN100148,CUST9769,18406.21,CARD,SUCCESS,,2026-08-22 08:23:48.314360,1
TXN100149,CUST9478,36251.62,UPI,SUCCESS,,2026-08-13 08:47:48.314360,2
