transaction_id,customer_id,amount,payment_method,status,failure_reason,transaction_time,retry_count,recovery_score,priority,recommendation
TXN104118,CUST4570,43479.75,WALLET,FAILED,TIMEOUT,2026-08-17 18:15:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN100415,CUST3089,49497.29,UPI,FAILED,TIMEOUT,2026-08-25 01:19:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104617,CUST5912,41669.45,WALLET,FAILED,TIMEOUT,2026-08-09 15:50:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN100937,CUST3857,43482.5,WALLET,FAILED,TIMEOUT,2026-08-28 15:53:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104579,CUST4948,48692.06,CARD,FAILED,TIMEOUT,2026-08-24 07:13:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103529,CUST9331,48925.16,CARD,FAILED,TIMEOUT,2026-08-01 17:41:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103694,CUST4813,38816.95,UPI,FAILED,TIMEOUT,2026-08-13 13:52:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103771,CUST6094,22228.57,CARD,FAILED,TIMEOUT,2026-08-25 01:06:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103725,CUST1117,23043.26,UPI,FAILED,TIMEOUT,2026-08-25 11:28:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103916,CUST3589,44398.67,NETBANKING,FAILED,TIMEOUT,2026-08-25 18:26:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN101989,CUST4458,24891.41,WALLET,FAILED,TIMEOUT,2026-08-17 07:53:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN102035,CUST6257,34638.09,CARD,FAILED,TIMEOUT,2026-07-31 02:36:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
