transaction_id,amount,payment_method,failure_reason,retry_count,recovery_probability,expected_recovery,action,reason
TXN104118,43479.75,WALLET,TIMEOUT,0,76.0,33044.61,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100415,49497.29,UPI,TIMEOUT,0,86.67,42897.65,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104617,41669.45,WALLET,TIMEOUT,0,39.33,16389.98,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100937,43482.5,WALLET,TIMEOUT,0,76.0,33046.7,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104579,48692.06,CARD,TIMEOUT,0,88.0,42849.01,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103529,48925.16,CARD,TIMEOUT,0,88.0,43054.14,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103694,38816.95,UPI,TIMEOUT,0,91.33,35452.81,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103771,22228.57,CARD,TIMEOUT,0,99.33,22080.38,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103725,23043.26,UPI,TIMEOUT,0,95.33,21967.91,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103916,44398.67,NETBANKING,TIMEOUT,0,72.0,31967.04,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101989,24891.41,WALLET,TIMEOUT,0,32.0,7965.25,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102035,34638.09,CARD,TIMEOUT,0,43.33,15009.84,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN102775,36733.63,UPI,TIMEOUT,0,92.67,34039.83,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101336,21381.93,UPI,TIMEOUT,0,90.0,19243.74,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102960,42294.42,UPI,TIMEOUT,0,37.33,15789.92,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102836,32350.93,CARD,TIMEOUT,0,88.67,28684.49,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101035,24329.68,CARD,TIMEOUT,0,94.0,22869.9,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102886,29540.5,WALLET,TIMEOUT,0,78.67,23238.53,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104008,39296.44,UPI,TIMEOUT,1,18.67,7335.34,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102944,46494.53,UPI,NETWORK_ERROR,0,11.33,5269.38,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102227,47449.47,UPI,TIMEOUT,1,81.33,38592.24,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101302,29843.91,NETBANKING,NETWORK_ERROR,0,82.0,24472.01,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102253,27364.95,WALLET,NETWORK_ERROR,0,36.0,9851.38,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102132,32989.23,WALLET,TIMEOUT,1,81.33,26831.24,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101883,47895.11,NETBANKING,NETWORK_ERROR,0,24.0,11494.83,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102073,32265.71,UPI,TIMEOUT,1,21.33,6883.35,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101444,28330.4,UPI,NETWORK_ERROR,0,93.33,26441.71,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101696,40989.5,WALLET,TIMEOUT,1,33.33,13663.17,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102387,45841.04,NETBANKING,NETWORK_ERROR,0,15.33,7028.96,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104779,38313.55,WALLET,NETWORK_ERROR,0,81.33,31161.69,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102396,31040.21,UPI,NETWORK_ERROR,0,96.67,30005.54,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102676,38534.7,UPI,NETWORK_ERROR,0,28.0,10789.72,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102504,29943.85,WALLET,TIMEOUT,1,30.67,9182.78,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101127,31232.35,NETBANKING,TIMEOUT,1,92.67,28941.98,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103196,30231.47,WALLET,NETWORK_ERROR,0,19.33,5844.75,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103170,24953.93,UPI,TIMEOUT,1,26.67,6654.38,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104823,23370.2,CARD,TIMEOUT,1,97.33,22746.99,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104839,44017.09,WALLET,NETWORK_ERROR,0,78.67,34626.78,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101189,42051.48,WALLET,NETWORK_ERROR,0,42.0,17661.62,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
